ConeID,SeedID,SoilID,Replicate,Treatment,PopID,Rhizo.Int,Sample Type (AB= aboveground),Envelope Dry Mass (milligrams),Observer and date,Envelope with dry biomass (mg),Observer and date,dry.mass
160,USGS,BB,C,Dead,BB,RHIZO,AB,1.1054,HL 9/10,1.157,LD 9/30,0.0516
161,WIL,NG,A,Dead,NG,INT,AB,1.112,HL 9/10,1.1295,LD 9/30,0.0175
163,USGS,HG,C,Dead,HG,RHIZO,AB,1.0817,HL 9/10,1.1634,LD 9/30,0.0817
164,USGS,SR,C,Live,SR,INT,AB,1.0953,HL 9/10,1.1906,LD 9/30,0.0953
165,WIL,BB,C,Live,BB,INT,AB,1.111,HL 9/10,1.1555,LD 9/30,0.0445
166,USGS,OH,C,Dead,OH,INT,AB,1.0879,HL 9/10,1.2173,LD 9/30,0.1294
168,USGS,SR,B-C,Dead,SR,RHIZO,AB,1.078,HL 9/10,1.2205,LD 9/30,0.1425
171,USGS,SR,A,Live,SR,INT,AB,1.0662,HL 9/10,1.1354,LD 9/30,0.0692
172,WIL,HG,C,Dead,HG,INT,AB,1.0902,HL 9/10,1.151,LD 9/30,0.0608
173,USGS,OH,A,Dead,OH,RHIZO,AB,1.0998,HL 9/10,1.2447,LD 9/30,0.1449
175,WIL,NG,C,Dead,NG,RHIZO,AB,1.0923,HL 9/10,1.1878,LD 9/30,0.0955
176,USGS,HG,B,Dead,HG,INT,AB,1.0801,HL 9/10,1.191,LD 9/30,0.1109
178,USGS,BB,C,Dead,BB,INT,AB,1.092,HL 9/10,1.1845,LD 9/30,0.0925
180,USGS,HG,A,Live,HG,INT,AB,1.0901,HL 9/10,1.1599,LD 9/30,0.0698
183,WIL,OH,B,Dead,OH,INT,AB,1.1076,HL 9/10,1.2056,LD 9/30,0.098
184,USGS,HG,B-C,Live,HG,RHIZO,AB,1.0662,HL 9/8,1.182,LD 9/30,0.1158
185,WIL,HG,B,Live,HG,RHIZO,AB,1.0742,HL 9/8,1.2101,LD 9/30,0.1359
188,USGS,OH,B,Dead,OH,INT,AB,1.1164,HL 9/10,1.2058,LD 9/30,0.0894
189,USGS,SR,C,Dead,SR,RHIZO,AB,1.0869,HL 9/10,1.2622,LD 9/30,0.1753
192,USGS,OH,B,Dead,OH,RHIZO,AB,1.0783,HL 9/10,1.1842,LD 9/30,0.1059
193,USGS,BB,B,Live,BB,INT,AB,1.0734,HL 9/10,1.1726,LD 9/26,0.0992
